Cable ID,PwrE,HybE,RotW,FlxW,OCHand,MFHand
K7,PwrE_MotionE2Elbow,,RotW_StandardWristRotator,,OCHand_ProPlusHand,
K7,PwrE_MotionE2Elbow,,RotW_StandardWristRotator,,OCHand_SensorHandSpeed,
K7,PwrE_MotionE2Elbow,,RotW_StandardWristRotator,,OCHand_SystemElectricGreifer,
K7,PwrE_MotionE2Elbow,,RotW_StandardWristRotator,,OCHand_SystemElectricHand,
K7,PwrE_MotionE2Elbow,,RotW_StandardWristRotator,,OCHand_TASKA,
K7,PwrE_MotionE2Elbow,,RotW_StandardWristRotator,,OCHand_VincentEvolution3,
K7,PwrE_MotionE2Elbow,,,,OCHand_AbilityHand,
K7,PwrE_MotionE2Elbow,,,,OCHand_Adams_Hand,
K7,PwrE_MotionE2Elbow,,,,OCHand_AetherZeus,
K7,PwrE_MotionE2Elbow,,,,OCHand_bebionic,
K7,PwrE_MotionE2Elbow,,,,OCHand_CovviHand,
K7,PwrE_MotionE2Elbow,,,,OCHand_Esper_Hand,
K7,PwrE_MotionE2Elbow,,,,OCHand_Genesis_Hand,
K7,PwrE_MotionE2Elbow,,,,OCHand_iLimbHands,
K7,PwrE_MotionE2Elbow,,,,OCHand_Myo_Kinisi,
K7,PwrE_MotionE2Elbow,,,,OCHand_MyoHandVariPlusSpeed,
K7,PwrE_MotionE2Elbow,,,,OCHand_ProPlusETD_ETD2,
K7,PwrE_MotionE2Elbow,,,,OCHand_ProPlusHand,
K7,PwrE_MotionE2Elbow,,,,OCHand_SensorHandSpeed,
K7,PwrE_MotionE2Elbow,,,,OCHand_SystemElectricGreifer,
K7,PwrE_MotionE2Elbow,,,,OCHand_SystemElectricHand,
K7,PwrE_MotionE2Elbow,,,,OCHand_TASKA,
K7,PwrE_MotionE2Elbow,,,,OCHand_VincentEvolution3,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_AbilityHand,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_Adams_Hand,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_AetherZeus,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_bebionic,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_CovviHand,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_Esper_Hand,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_Genesis_Hand,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_iLimbHands,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_Myo_Kinisi,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_MyoHandVariPlusSpeed,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_ProPlusETD_ETD2,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_ProPlusHand,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_SensorHandSpeed,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_SystemElectricGreifer,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_SystemElectricHand,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_TASKA,
K4,PwrE_UtahArm3,,RotW_ElectronicWristRotator,,OCHand_VincentEvolution3,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_AbilityHand,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_Adams_Hand,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_AetherZeus,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_bebionic,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_CovviHand,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_Esper_Hand,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_Genesis_Hand,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_iLimbHands,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_Myo_Kinisi,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_MyoHandVariPlusSpeed,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_ProPlusETD_ETD2,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_ProPlusHand,
K4,PwrE_UtahArm3,,RotW_StandardWristRotator,,OCHand_SensorHandSpeed,
